time,unburn_carbon,nilai_kalor,co,co2,out_generator,sfc,eco_gas_out_temp,pa_flow,o2,fuel_temp,sa_flow,carbon,hydrogen,nitrogen,sulfur,ash,total_moisture,oxygen,surface_moisture,inherent_moisture
18-Aug-20,1.065,4082.939271,0.0089,14.43,492.2401593,0.629222311,,963.5089065,5.15,58.09714286,1288.165844,42.07232553,3.101444799,0.70158262,0.233860873,7.264774876,32.98,13.6460113,13.192,19.788
19-Aug-20,0.187,4138.056394,0.0001,14.7,493.9526743,0.634774499,343.7978179,1017.552971,4.875,58.09714286,1242.645649,42.86440842,3.448575155,0.673222906,0.229507809,4.605456697,35.34,12.83882901,14.136,21.204
17-Sep-20,0.398,4171,0.0027,16.9,498.252479,0.652111378,346.7179792,972.7724797,5.18,58.09714286,1389.609464,43.57,3.24,0.6,0.17,3.2,36.78,12.44,14.712,22.068
21-Oct-20,7.5885,4191.812518,0.002706,16.9,494.1237981,0.619150311,359.7017873,983.739948,5.18,61.8547619,1332.21129,43.56981241,3.674666217,0.601585251,0.193813674,4.241754724,35.53,12.18836773,14.212,21.318
25-Nov-20,1.5445,4047.91761,0.002706,16.9,494.0126953,0.625991933,349.3480514,942.6173424,5.18,61.8547619,1203.234938,41.67581834,3.389436624,0.534795102,0.114598951,3.308089705,38.85,12.12726128,15.54,23.31
14-Dec-20,1.49,3598.57,0.0012,13.21,497.2678786,0.697226894,360.6138439,920.3114507,3.169809195,59.79285714,1431.23692,38.5,2.8,0.67,0.22,8.38,38.53,10.9,15.412,23.118
07-Apr-21,0.082,3697.709076,0.0005584,13.32,618.1502404,0.685441609,364.2509406,1057.042649,2.584660457,56.825,1678.015756,39.27745138,3.023613817,0.59076175,0.090255267,6.038897893,39.25,11.72901989,15.7,23.55
18/05/2021 (COF),0.76,3877.577092,0.002706,16.9,555.4103816,0.675832359,347.7302864,1001.346797,3.72275015,59.16545265,1703.937228,41.01408443,3.061858005,0.602918003,0.281883742,5.661165148,38.98,10.39809067,15.592,23.388
18-May-21,0.124,3736.638066,0.002706,16.9,553.5254657,0.714124005,345.9945475,967.8877986,3.625544621,57.35142857,1709.193003,39.27536403,2.941239365,0.60963505,0.170308296,5.574667841,40.89,10.53878542,16.356,24.534
15-Jun-21,0.305,4318.677152,0.001513659,14.2,621.1410757,0.582352923,356.777073,962.0060448,2.190673828,58.55222222,1677.11823,46.26370243,3.624173698,0.73763106,0.282111528,5.005538489,33.10333333,10.98350946,13.24133333,19.862
12/07/2021,0.089,3831.060664,0.000698049,14.88,535.4080529,0.708805411,975.3131441,1095.913039,3.860182542,57.45880952,1520.540311,40.42506284,3.054305539,0.682154399,0.200197487,5.687091562,38.05,11.90118818,15.22,22.83
4-Ags-21,0.262,4318,0.000698049,14.88,571.76,0.602315657,350.8500476,997.8334585,2.846322867,59.695,1560.795443,45.37,1.79,0.61,0.28,4.25,33.28,14.42,13.312,19.968
13 September 2021,0.262,4032.208423,0.005268293,5.29,588.5496544,0.626609206,359.7469537,1067.839276,2.49226262,57.43047619,1484.856774,41.80827367,3.298515784,0.631165704,0.36946471,4.936448714,38.376715,10.57941641,15.350686,23.026029
07/10/2021,0.142,4109.103579,0.001470244,14.43,494.7610427,0.653350325,336.8748502,1038.774639,3.358792819,59.20666667,1288.070012,42.89432203,3.368670288,0.630798853,0.247528664,5.389737039,35.93,11.53894312,14.372,21.558
19/11/2021,0.581,4027.0025,0.001219512,14.43,500.4604868,0.659181383,349.2963093,943.3163288,3.946739784,56.27880952,1476.707806,42.6105,2.920056,0.6205,0.1615,3.7145,36.76,13.212944,14.704,22.056
23/12/2021,0.346,3912.000016,0.004544634,14.43,480.0852614,0.666680537,341.6970747,1001.450874,4.550105168,59.70547619,1457.105877,37.90807697,2.832917318,0.542620585,0.11,7.212331941,37.815,13.57905318,15.126,22.689
06/01/2022,0.195,3979.206672,0.000798049,12.55,500.0186298,0.674298876,347.4329419,1026.617887,4.026367188,60.81190476,1471.428415,41.94553366,3.037044759,0.607906285,0.180728896,7.097716623,33.73,13.40106978,13.492,20.238
08/02/2022,0.15,3979.531998,0.000798049,12.55,499.5410156,0.672573664,351.44544,998.0193129,3.744741587,54.3247619,1508.466426,41.88647697,3.25690633,0.641002745,0.297608417,4.876199451,37.445,11.59680608,14.978,22.467
14/03/2022,0.15,4575.316736,0.000798049,12.55,563.8644081,0.564626168,354.8593277,1002.646729,3.481426532,59.1147619,1594.365906,46.58711432,3.459607201,0.695851361,0.486289948,4.699011704,31.82,12.25212547,12.728,19.092
